class,tidy_tweet
0,اتق اللھ انت تظلم الناس ترحم عليهم خلي محقق كونان اللي داخلك يرقد
0,حدا يكون الحكم لله حدود الله رلايقبل التنازل قصاصا الحق لأهل الدم يقبل التنازل
0,الله يفقدة عافيته يرحم البنات يشفي الام
1,اللهم أخرجه سالما غانما معافى برحمتك ارحم الراحمين قر عيني الديه بعودته انقذو انقذو
1,اللهم معه يارب احفظه احميه رده اهله يارب سدد بقدرتك فريق الأنقاذ كلنا انقذو
1,الله باقي متر انقاذه يارب تمم بسلامته يرجع لاهله سالم غانم
1,ناس تتفلسف بالجهود المبذوله مساكين هذول سهرانين تعبانين يجي احد منسدح يقول باردين عفوا بالكم يلا بسرعه بسرعه نحفر ترا اي غلطه يطيح الطفل بعمق اكثر البئر ٦٠ متر طاح بالنص او تنهد التربه لازم بحرص ببطيء شديد اتركوا الفلسفه لأهلها الطفل
1,ليتهم اعلنو الحين ياخي شلون بننام امدنا نفرح بخروجه الا حزنا بوفاته
0,اللي تسويه الحين ذنب تتألي الله بالأحكام
1,لاحول قوة الا بالله العلي العظيم
1,لبنان الشقيقة الجميلة تهزم تموت ستقف بادن الله رجليها ستكون الأجمل أجمل السابق
1,الله يرحمها يغفرلها يجعل الفردوس الاعلى مسكنها الله توفت تركت الهدايا سيبقى اثر طيب قلوبهم اجمل حنية المعلمات الله يجزاهم خير يكتب الاجر تعبهم مجهودهم العظيم
1,اللهم أكرمها بطيب المقام حاولت إكرام طالباتها رحمها الله رحمة اسعة
1,لاحول لاقوة الا بالله انا لله انا اليه راجعون رحمها الله رحمة الابرار اسكنها الله فسيح الجنان جبر الله اهلها اقاربها صلة
1,الحمد لله اللذي عافانا ابتلاه اللهم تبتلينا بليته اعفو عنا ارحمنا ارحم الرحمين
0,لاحول قوة الا بالله اللهم ارحمهم برحمتك اسكنهم فسيح جناتك اشفي الدتهم اتمنى صاحب الحساب يسوي بلوك حق الحسابات المريضة اللي تقرا الخبر لاتحترم مشاعر الآخرين
1,إنقاذ ريان دراما إنسانية توحد العالم أنقذو ريان
1,اعتقد الخبر اصل لوالدينه كمان امه تصريحاتها الاخيره تسليم بالوفاه خاليه الامل ربط الله قلوبهم جبرها جبرا يليق بجلاله عظيم سلطانه
1,مخرج الحي الميت مخرج الميت الحي أخرجه أخرجت يوسف الجب رده لأمه رددت موسى لأمه أخرجه بطن البير أخرجت يونس بطن الحوت إنك شيء قدير
0,مكان ابار مكشوفه موب المغرب لابد احد عنده ابار مكشوفه يتقي الله ان يصيب اي كائن حي اي ضرر يتحملها طول عمره
1,بيروت لبنان اللهم سل اللهم سل
0,تتشمتووووون فيعافيهم الله يبتليكم خلوكم احسن منهم جانا منهم شي مكان الصالح الطالح الا المصايب تتشمتون
0,سلامات بيروت العالم يكفيه المآسي الموت
0,انت شايف التصوير جوالها اضح جدا لحظة الانفجار فا ينقطع النت المستهدف مو النت ياليت تكون اقعي
1,سيارات كانت تمشي مسافة قريبة جدا الإنفجار اكيد بشر حوله ياااارب ارحمهم سلمهم يارب
1,الله يغفر يرحمها ذهبت لمن ارحم الام برضيعها لمن خلقها عدم سبحانه
1,نتمنى تأخذ هدايا الرحمن يومها بالقبول دخول الجنة
0,المأساة المواجع سنة حنا نسمعها كانها اصبحت شي عادي المسلمات دور زارة النقل ليش مايكون مراقبة انظمة مستحدثه لسائقين الباصات تنظيمهم اللي صاير الاسف اهمال مهزلة لاتليق برؤية
1,لله إليه راجعون الله يرحمهم يغفر يسكنهم فسيح جناته يلهم أهلهم الصبر السلوان
0,تتكرر هالحوداث لسبب خلك راي ملحم خصوصا ايام الاجازات الافضل امشوا السرعه تكون معقوله الين توصلوا بالسلامه بخصوص الشيخ الله يرحمه أخوه مقدر مكتوب مجرد اسباب الجمال قطعت عليهم الطريق صدمموا رحمه الله عليهم
0,حسبي الله عليكم بسبب تهاون النظام للمعنف تجريم العنف
1,الله يرحمهم يجبر قلوب اهاليهم عشان اغلب متابعينك ياذا الحساب بزوره تافهين ماله داعي تنزل اخبار زي او الاقل تبلك اصحاب التعليقات المستهتره احترام لمشاعر اهل الخبر الناس اللي عندهم احساس
1,انقذو يبدو انه تم اخراج الطفل البئر نتمنى سماع اخبار طيبة
1,شعوب العالم الله يعين الدت والد ريان يلهمهم الصبر السلوان فقدانهم فلذة كبدهم ان يحسن الله عزائهم الطفل أنقذو أنقذو التحالف المغرب اليمن الجزائر الأمة
1,اللهم إني أسألك بإسمك الأعظم دعيت أجبت لت أعطيت أسألك بأسمائك الحسنى كلها علمت تخرج الطفل ريان البئر أخرجت يونس بطن الحوت انقذو
1,زملاء الطفل اليمني مهددون بالقصف طيران العدوان يحلق أجواء العاصمة صنعاء الطفل انقذو انقذوا
1,العالم بأكمله عالق الحفرة قلوبناء الطفل ريان الجنوب العربي انقذو
1,العالم المنافق الفرق الطفل ريان هاولا الاطفال لماذا نسمع نشاهد منكم هاذا التضامن هاذا الجرائم لاتهز فيكم شعره الله انه النفاق ان لاتساوي الطفوله تضم صوتك المظلومين المعتدى عليهم انقذو انقذو
1,رب الله يتلطف بالصبي الثلاثاء البئر شكرا لكل يعمل لانقاذه رب انقذو
0,انتقل ريان جوار رب كريم جهوا كاميراتكم قلوبكم أطفال اليمن سوريا العراق فلسطين انقذوا الأطفال يستحقون الحياة
0,إنالله اليه راجعون الله يرحمه كنت حاس انه ماراح يطول يوم ماجابوا خزانات قعدوا يقصون ليله كامله بالله شغل ناس يبون ينقذون شغل بدائي برود بطئ فيهم طبيعي شي يقهر صراحه
1,الله يرحمه حبيبي
1,الله يصبر اهله يعظم اجرهم يجعله فرطا شفيعا مجابا لوالديه
0,اي جسم يستحمل ايام الارض ابن سنوات إنقاذ بطئ جدا
1,جاء ليذك ركم أنكم أمة احدة رحل الطفل
1,ظلمة البئر لظلمة القبر الله يصبر اهله يرحمه
1,اضح انه ميت العصر الا يطلعونه يحجزونه بنفق ضيق سيارة الإسعاف جنبهم مجهزة
1,حشة المكان تفجع تذكرتها ابكي ربي اجل امه اش شعورها الله يعصم قلبها يلطف بحالهم يجعله شفيع لوالديه ياارب
0,تم الاعلان انه متوفي بالبئر لسبب فوضى الجمهور المتواجد لتهمت الحكومة انها تريد التخلص لتهمت بالتقاعس اربك العمل لااخراجه لاننسى ان الكميرا مسلطه يعرفوا قت فاته فاكملوا اخرجوه تاكدوا ١٠٠ اعل
1,ماقدر النعيم الحياة الكريمة الان ماهو حال الطفل اكمل ايام حفرة الحمدلله نعمك تعد تحصى الله يلطف أهله ينزل السكينه الطمأنينه
0,منزلين عمق البير جهاز استشعار يبين يوضح بوجود حرارة كائن حي الجهاز متوفر مركز دفاع مدني لمن انقطع جود الحرارة تبين فاته لمح المتحدث قتها حركته استجابته بطيئة بعدها تحدثوا لايعلمون حالته الله يجعله شفيعا لذويه
1,طفلنا كلنا الله هينا مجتمعين نتابع البث ندعي الله يخرجه سالم البئر اخرج يونس بطن الحوت
0,الله انهم مب طبيعيين شفتهم بالبث اقفين الحفره مب احد جمهور
1,الله يشفيهم شيء مريع
1,اللهم ارحم لبنان شعبها
1,انا لله انا اليه لراجعون
1,حول قوة الا بالله اللهم الطف
0,لبنان سرحة خنافس حزب الشيطان الى قذورات ايران كانت ايام الشهيد الحريري أوربا الشرق لان جعلتها ايران ذنابها خرابا دمار
0,يالله
0,اتمنى للاعلاميه مريم التومي ان تكون بالف خير سلامة لجميع العاملين قناتكم الكريمة نتمنى دوام التوفيق النجاح السلامة الدائمة
0,ليتك الله لاطم شحم
1,اوف اوف لااله الاالله الانفجار جا
1,الله يسكنها جنات النعيم
1,أسأل الله يرحمها الثناء عليها نسأل الله تكون عاجل بشرى المؤمن النية الطيبة انطوت عليها خبيئتها خلال حملها الهدايا للأطفال
1,الله يرحمها التهور يحصد الارواح قيادة المراة يجب تكون ضع قوانين صارمة للتهور لأنهن اول ضحايا التهور
1,الله يرحمها يسكنها فسيح جناته
1,الله يرحمها يسكنها الجنه توفيت تؤدي افضل اجب عليها التدريس للاطفال
1,الله يرحمها يغفر شي يحزن الظاهره متكرره بشكل كبير
1,الله يرحمها يغفرلها
1,انا لله انا اليه راجعون رحمه الله عليها اسكنها فسيح جناته اعرفها تركت خلفها فرحه لاطفالها رحلت اللهم جمعتها الدنيا اجمعها تحب جنات النعيم
1,انا لله انا اليه راجعون رحمه الله عليها اسكنها فسيح جناته اعرفها تركت خلفها فرحه لاطفالها رحلت اللهم جمعتها الدنيا اجمعها تحب جنات النعيم
1,ربي يفرحها بالفردوس الأعلى ماكانت تبغى تفرح طلابها اللهم صل محمد
1,لاحول قوة الا بالله قصة صديقتي سنوات الله يرحمهم يغفرلهم يجعل قبرها روضه رياض الجنه
1,لاحول لاقوة الا بالله الله يغفر يرحمهم
0,ياليت تعيد صياغة الخبر يليق بصحيفة انه تكتب خبر بركاكة
0,الله يرحمهم يجبر اهلهم مصابهم للايضاح التعليقاتالمذكوره ان الطريق عر جمال سائبة مقام ترحم دعاء مقام تندر بث شكوك عقيمة
1,الله يرحمهم يغفر يسكنهم فسيح جناته
1,غفر لله اسكنهم فسيح جناته يلهم أهله ذويه الصبر السلوان انا لله انا اليه راجعون الله يشفي مريضهم
0,بشر اتقوا الله تدخلوا بالنيات تظنوا بالناس ظن السوء تراهم اخوان اتقوا الله تكتبوا يقول احد السلف رأيت احد لحيته تقطر خمرا لقلت ربما انسكب جدته اقفا جبل يقول ربكم الأعلى لقلت لعله يقرأ الآية انا لله انا اليه راجعون رحمهم الله
1,الله يرحمها يكن راها رجال أهل يأخذون حقها ينقذوها فراحت ضحية
0,يجوا جماعة الخير يجمعوله الفدية
1,الطفل الحمدلله تم إخراج الطفل ريان داخل البئر داخل سيارة الإسعاف نتمنى السلامة للطفل الصبر السلوان لأهله حال انقذو
1,اخر لحظات انقاذ ريان دعواتكم ريان انقذو
1,أنقذو الطفل ریان أنقذو أنقذوا الطفل المغرب ريان
1,الجنة اجمل ياعصفور العالم قطع قلوبنا انام اصحى البث امل يطلع عايش قدر الله الحمدلله الله يربط قلب امه يصبرها فراقه
1,الله يرحمه يغفر يجعله شفيع لوالديه
1,اللهم اجعله طيور الجنه ثقل ميزان الديه اجعله شافعا حسناته انه حد الامه العربيه بالتعاطف معه كنا حاجه ماسه لتوحيد الصف العربي
1,شايله بناتي بقولهم يسألوني عنه الحمدلله قدر الله ماشاء فعل
0,ضيق المكان الخوف الظلام نقص الأكسجين الجوع العطش الأساس فرصه النجاه ضئيلة
1,مقدر شخص يولد مكتوب جبينه يموت ربي كاتبه اغلبكم يتحسب يجوز لان قضاء الله قدره
1,يالله قلبييي مش مصدقه الطفل مات الله يرحمه
0,الطفل يتوفي اليوم ايام هادا تضليل كاذب الاعلام يقولو انهم ارسلو ليه اكل شرب شي يدخل اي عقل ايام اول يوم ماحتي يقدر يرفع ايده يتحرك حركه طبيعيه
0,الشيئ المؤلم فاة الطفل فهو جنة النعيم مكان احسن يعبشه باليتني كنت مكانه المؤلم استهزاء الاعلام المغربي بمشاعر نفسية الديه طمعو انه حي الجميع بانتظاره الاعلام يكذب يقول ياكل يشرب لاباس لاندري مالغرض
1,خرج لمة البئر الى نور الجن طير طيور الجنة اللهم عو طفولته جنان تفنى اجعله شفيعا لوالديه انا لله انا اليه راجعون
1,رحمة الله ياطفلنا اللهم اجعله طير طيور الجنة يصبر اهله ذوية المسلمين اجمعين ريان
0,ماعتقد لازم تقول
0,العربيه قالت تم انعاشه مرتين انكروا الاعلام المغربي اهله شافوه الا ظهر الخميس انه بخير تكتم اعلام المغرب اضح
1,الله يرحمه يجعله طير طيور الجنة يجبر قلب الديه يصبرهم ياحي ياقيوم
1,فراق ملاكنا الصغير صعب جدا لحظات عشناها خوف ترقب دعاء صلاة اكل شرب حياة أملنا سط ألمنا شوفته سالما غانما الموت حق كنا نأمل ضحكته البريئة عيونه الجميلة ريان ننساه ريان فينا جرحا عميقا الحمد لله ابتلاء الله الفراق صعب
1,اضح تم تأجيل الاعلان خروجه الوالدين عندهم خبر مسبقا اتوقع لانهم كانو هادين يطلبون بخروجه ميت
1,أعتقد توفي رحمه الله يومين آخر الصور مستقلي شقه الأيمن حركة برودة البئر الكسور النزيف بدون أكل شرب مدة ايام كفيلة بإنهاك جسد شخص كبير متعافي بالك طفل صغير يتحمل
0,الحمدلله أولآ اخرا خروجه نسأل الله ان يتمم ريان الشفاء السلامة شكرا لرجال الانقاذ القوات المساندة الأهالي المتطوعين فعل الأزمات تجمع ريان
1,الحمدلله اولا اخيرا الله يعجل شفاءه
1,لله إليه راجعون اللهم ارحم موتاهم اشفي مرضاهم
1,لله إليه راجعون الله يرحمهم يصبر أهاليهم
1,لله إليه راجعون الله يلطف حالهم
1,الله يجبرهم يارب
1,الله يحمينا الاعداء الفتن مشاكل الدول العربيه سببها ايران دمرت العراق سوريا اليمن لبنان
1,الله يلطف يرحم مات منهم
1,اللهم الطف بأهل بيروت بكل الأحوال
1,اللهم الطف شافهم عافهم ارحم مات منهم
1,حمى الله لبنان الشعب اللبناني سوء
1,حول قوة بالله الله يشفيهم
1,ياساتر يارب
1,اقسم بالله ارى مشهد قط مولم حدث هده اعتقد نصف المدينه انتهى ظحايا الانقاظ لازالو لبنان اليوم انتكب علىةعقبيه البلد الطيف اهله الطفاء الموسوعين بالعلم المعرفه يدمر حسبي الله الوكيل رايت المشاهد اراها اشلاء جثث ممزقه لاحول الله يارب
1,اللهم احفظ آلامه الاسلاميه العربيه
0,انا بصراحه تفجئت خبر التفجير لان متوقع خلال الفتره السابقه كلها اختلافات سياسين ازمه مظاهرات ان يصير جذي تفجير يستغبون ضع لينان السياسي الاقتصادي عشلن تصير حرب اهليه بتضرب اقتصادهم مره حده ترا اضحه
1,مصيبة أكبر مصيبتهم
1,حسبنا الله الوكيل
1,هنيئا ربي يجازيها الفردوس سواه
1,اسال الله ان يرحمها يسكنها الجنه يعوضها اهلا خيرا اهلها دارا خيرا دارها انالله انا اليه راجعون
1,الله اما اغفر ارحمها عافها اعف عنها أكرم نزلها وسع مدخلها اغسلها بالماء الثلج البرد نقيها الذنوب الخطايا ينقى الثوب الأبيض الدنس اللهم امين
1,الله يرحمها يرحم جنينها الي مات معاها قي بطنها يكتبها الشهداء
1,الله يرحمها يسكنها الفردوس الأعلى الجن يارب يلهم أهلها ذويها الصبر السلوان
1,الله يرحمها يغفر لله إليه راجعون الله يسعدها يسكنها الفردوس الأعلى الجنة ماكنت نيتها بأسعاد طلابها
1,الله يرحمها يغفر يسكنه فسيح جناته يلهم أهله ذويه الصبر السلوان الله انااليه راجعون أعظم الله اجركم
1,الله يرحمها يغفر يسكنها فسيح جناته يلهم أهلها ذويها الصبر السلوان لجميع موتانا موتى المسلمين أجمعين رب العالمين أمين
1,الله يرحمها يغفر يسكنها فسيح جناته يلهم اهلها ذويها الصبر السلوان أحسن الله عزاء أهلها ذويها عظم الله أجرهم إنالله إناإليه راجعون
1,الله يرحمها يغفرلها يجعل الجنه مثواها يارب
1,الله يرحمها يارب يغفر يصبر قلوب أهلها
1,اللهم ارحمها اغفر ارزقها الفردوس الاعلى الهم اهلها الصبر السلوان انا لله انا اليه راجعون
1,ربي يفرحها بالفردوس الأعلى ماكانت تبغى تفرح طلابها اللهم صل محمد
1,رحمها الله غفر
1,رحمها الله غفر اسكنها فسيح جنانه اللهم اجعلها فرحة تراه منك نوت قدمت مايفرح تلميذاتها اللهم ثبتها القول الحق يارب
1,لاحول قوة الا بالله الله يرحمها يغفر
1,لاحول لاقوة الا بالله الله يرحمها يغفر
1,مثواها الجنة ان شاء الله راحت للي يعطيها الجنة هدية ان شاء الله
1,اللهم ااااااامييين العالمين قلبي انعصر عليها الله يتغمدها بواسع رحمته يسكنها الفردوس الأعلى الجنة ياذا الجلال الإكرام ياحي ياقيوم ياأرحم الراحمين انا لله انا إليه راجعون اللهم انزل اهلها ذويها الصبر السلوان ثبتهم يااااارب اللهم أكرم نزلها وسع مدخلها
1,لله إليـه راجعون حول قوة بالله اللهم ارحم توفى امنن بالصحة أصيب يوم الاثنين فاة حادث مروع جنوب السعودية اليوم شمالها اللهم الطف باحوال المسلمين تفجعنا اهلينا احبابنا عظم اجر ذوي المفقودين اجبر كسر قلوبهموأحس عزاءهم
0,الله يرحمه يغفر يصبر أهلهم يثبتهم السؤال ينور قبرهم صح قضاء الله قدره مكتوب عليهم تصادموا اكيد سرعه الموضوع يمشون بشويش ماتوصل للوفاه العلم الله العموم مانقول الله يرحمهم يصبر أهلهم
1,الله يرحمهم يغفر يسكنهم فسيح جناته
1,الله يرحمهم يغفر يسكنهم فسيح جناته يلهم اهلهم الصبر السلوان انا لله انا اليه راجعون
1,الله يغفر يرحمه
1,انا لله انا اليه راجعون الله يرحمهم برحمته يغفرلهم يثبتهم السؤال الله يكون عون ذويهم يصبرهم فراقهم قدر الله ماشاء فعل اجل مخلق مسمى يعلم اين قال تعالى اللهم ارحم سبقونا اليك بالايمان
1,جماعة كونان المتحري الذكي اقضبوا ألسنتكم الأموات بدعاء ذكر حسن محاسن رحم الله الأموات شفاء الله المصابين
0,ناس قليله حياء بدل تعزي مطلقه كونان اللي داخلها عيب ناس خبر موت توه اتقوا الله بالكلمه اللي تكتبونها اعوذ بالله منكم ناس قليله حياء
1,بدل تقول الله يرحمهم تهرج هالهرج الفاضي الله يصلحك
1,انا لله انا اليه راجعون الله يرحمهم يغفرلهم يثبتهم يصبر اهلهم فراقهم يشفى المصابين
0,القتل انواع حد قصاص تعزير حدا القاتل متعمد لارجوع محد يتنازل عنه قصاصا اذا القاتل محكوم بالقتل يعني قاتل محد يتنازل عنه االا رثة الدم الله اعلم
0,اللي يفحط المفروض قصاص الله يرحمهم يارب
0,اصحاب التفحيط يجب اعدامهم
0,الله يوفق شخص يفحط دعيت بالهداية الكفاية الحين ببدي ادعي شخص اشوفه قاعد يفحط ياجعل حزن الام بناتها يجيك قاتل
0,اللى يفحطون جائزة علشان التفحيط يخافون أرواحهم يخافون ان بفعلهم يقتلون روح
0,امسكو عيالكم خي خافو ربكم تاركينهم اذا جات مصيبه تصحون تدورون فزعات ذنب الاطفال المعلمه لأحول لاقوة الا لله
0,حسبي الله الوكيل مفحط رب اسره مهمل عياله حسبنا الله كفى
0,لد عمره ١٤ سنه لاتحسسوني مايفهم اهله يتحملون مسؤوليه كبيرة سلامات اجيب عيال اقطهم الشوارع اعطيهم مفتاح السياره تقول البزر سرق المفتاح لان الاهل فيهم حرص ماسرقه الاهل يربون بشكل كويس ماكان هالشي احين بيصير الموال دية تعالوا ساعدوا
0,آدمن سكرين ميكس كتييير تعليقات سخيفة تافهة لازم تنحظر صحابها لإنو هيدا مو حادث هيدي كارثة إنسانية بغض النظر عدد المتضررين يفضل ندعي للعائلة بالصبر السلون ربنا يكون معهن بدل تفاهة البعض طبعا مو الكل
1,أخرج يوسف غيابة الج أنقذ موسى الي ري ان الى أربط قلبها انقذو
1,الطفل بدأ الحفر يدويا انقذو
1,انقاذ انقذو عبروا حبهم رسم ياريان مطمئنا
1,انقذو يارب يسر خروجه ياميسر الشداد الصعاب نستودعك ريان يارب العالمين
1,رددناه الى امه تقر عينها اللهم رده اللى اهله ردآ جميلآ انقذو
1,الله يجعله شفيع لوالديه
1,باطن الارض الى عنان السماء اللهم اجعله طيرا طيور الجنه
1,حول قوة الا بالله لله إليه راجعون الله يرحمه يصبر اهله
1,الله يرحمه
1,حول قوة الا بالله اللهم اهله اعنهم كربتهم
1,لله إليه راجعون الله يربط قلب امه
1,اااه ياقلبي الله فرحت بطلعته حزنت لموته اللهم اجعله شفيعا لوالديه
0,الله لايوفقهم يتحملون موته حسبي الله عليهم
1,الله يتقبله قبولا حسنا جعله شفيع لولدينه يجبر مصابهم يارب لاحول لاقوة الا بالله
1,الله يرحمه
1,الله يرحمه يرحمنا يلحقنا بالصالحين
1,الله يرحمه يغفرله يسكن فسيح جناته
1,الله يرحمه يصبر قلب اهله
1,ان لله ان اليه راجعون الله يجعله طير طيور الجنه
1,انا لله انا اليه راجعون
1,انا لله انا اليه راجعون حول قوة الا بالله العلي العظيم
1,باسمي اسم الشعب السعودي ننعي الداي ريان بوفاه ريان انا لله انا اليه راجعون
1,ربي يصبر اهله انا لله انا اليه راجعون
