favorite_count	full_text	reply_count	retweet_count	predicted_class
40	"@AJELNEWS24 تلك الدموع تحمل حزن وقهر العالم بأجمعه 

لا نملك الّا الدعاء وان يلهم المحامي أحمد الدعسان  الدعجه  وزوجته الصبر والسلوان وان ينزل عليهم سكينته 

فما حدث هو مصابنا جميعا  وسبحان من قهر عباده 
بالموت https://t.co/ar6T92psKh"	18	7	0
2	@mialbadawi @AJELNEWS24 لاحول ولاقوة الا بالله ، اللهم الطف بنا من فواجع الأقدار	0	0	1
2	@AJELNEWS24 يالطيف ياربي رحمتك لاحول ولاقوة الا بالله ،، مااجملهم والولد بسم الله عليه .. العين حق وهذولا مميزين ياربي يصبر اهاليهم ويعوض طفولتهم وشبابهم بالجنه	1	0	1
73	"@AJELNEWS24 لاحول ولاقوة الا بالله العلي العظيم ربنا يرحمهم ويصبر اهلهم وذويهم ويربط على قلوبهم .
نعوذ بالله من فواجع الأقدار لسه واحد زميلنا كتب البوست ده عالفيس من ٤ ايام وفي نفس اليوم بالليل حصل حريق في شقته واصيب بحروق بالغة بنسبة ٨٠٪ ويوم أمس توفاه الله عزوجل!! ربنا يرحمه ويغفر له  https://t.co/LHwsVcQPOH"	8	8	1
3	@Mohamme00367756 @AJELNEWS24 اللهم اجعله في الفردوس الاعلى من الجنه	1	0	1
2	"@AJELNEWS24 ((إنا لله وإنا إليه راجعون))
اللهم أجر والديهم في مصيبتهم واخلف لهم خيراً
اللهم اخلف لهما خيرا ممافقدوه خلفاً ينسيهم ألم الفقد
اللهم جملهم بالصبر وقوة الإيمان 
اللهم اجبر قلوبهم جبراً يليق بجلال وجهك وعظيم سلطانك
المصاب جلل
 ولكن قدر الله وماشاء فعل"	0	1	1
1	@AJELNEWS24 لاحول ولاقوة الا بالله الله يرحمهم يارب	0	0	1
0	"@AJELNEWS24 لاحول ولاقوة الا بالله 
اللهم ارحمهم واغفر لهم واجعلهم من طيور الجنه شفعاء لوالديهم   واربط على قلب كل مفجوع 
الصبر والاحتساب  عند الابتلاء أجرة عظيم عند الله"	0	1	1
1	@AJELNEWS24 لا حول ولا قوة إلا بالله اللهم أني أعوذ بك من فجائع نقمتك و تحول عافيتك و جميع سخطك اللهم أنك القوي العزيز الجبار القادر على كل شيء أجر جسدي من النار في الدنيا و الأخره اللهم اجر مصيبة عبدك الفقير و أجعل ما اصابه من فاجعة ربط على قلبه وزيادة في صبره وارحم ضعفه وقلة حيلته	0	0	1
1	@AJELNEWS24 انا لله وانا اليه راجعون الله يعوضه خير ويجبر قلب اهلهم	0	0	1
0	"@AJELNEWS24 إنا لله و إنا إليه راجعون
اللهم أجعلهم شفعاءاً لوالديهم وأخلف على والديهم خيراً اللهم أربط على قلوبهم بصبر والرحمه يا رب العالمين"	0	1	1
1	@alsahrani0099 @AJELNEWS24 اللهم امين يارب	0	0	1
1	"@AJELNEWS24 إنا لله وأنا إليه راجعون 
لاحول ولاقوة الا بالله 
الله يرحمهم ويغفرلهم ويلهم اهلهم الصبر والسلوان"	0	0	0
1	@AJELNEWS24 لاحول ولاقوه الا بالله العلي العظيم	0	0	1
1	@AJELNEWS24 اللهم تقبلهم عندك طيوراطيورالجنه وانزل الصبر والسكينه والثبات لوالديهم	0	0	1
1	@AJELNEWS24 الله يرحمهم و يجبر بخاطر والدينهم لاحول ولا قوة الا بالله	0	0	1
40	@AJELNEWS24 فقد الاحباب والاقارب في هذا الزمن اشد مرارة من السابق لأننا بعصر التقدم والكاميرات والفلاشات والصور والذكريات نصيحة اذا تحتفظ بصورة احد متوفي فاحذفها فوراً دون تردد وادعو له وتصدق عنه.	4	2	0
30	"@heeeeaer @AJELNEWS24 الصور مصيبة فوق المصيبة لما تنظر فيمن ماتوا تقعد تبكي وتذكر لحظة موتهم احذفوا الصور ولا تصورون تراكم راح تحزنون حزن كبير بسبب هذي الصور انا ماعاد اصور وحذفت كل الصور 
الصور شر وحزن فوق الحزن"	1	0	0
1	@AJELNEWS24 الله يرحمهم ويصبر قلوب والديهم	0	0	1
0	@xmshxxl @AJELNEWS24 رحمة الله عليكم يا عصافير الجنة الف رحمة ونور تنزل عليهم غفر الله لهم	0	0	1
9	"@AJELNEWS24 اللهمّ أجرهم في مصيبتهم واخلف لهم خيراً منهم ,اللهم إجعلهم شفيعين لأبويهما، وارزقهما خيراً مما أخذت منهما ..
ربنا افرغ عليهم صبرًا و لا تحرمهم أجرهم ولا تفتنهم بعدهم واغفر لهم واجمعهم بهم  في جنات النعيم يا رحمان يارحيم"	0	1	1
1	"@AJELNEWS24 انا لله وانا اليه راجعون 

عظم الله اجرهم واحسن عزاهم

الله يعوضهم بالخير ويصبرهم 
ان شاء الله انهم من طيور الجنه"	0	0	0
2	"@AJELNEWS24 لاحول ولا قوة الا بالله 
اللهم إنّا نعوذ بك من فواجع الأقدار، ومن فقد الأهل، ومن حزن القلب، وحرقة الشعور،                                    انا لله وانا اليه راجعون."	1	0	1
48	"@AJELNEWS24 كل ماتعلق قلب الانسان بمغريات وملهيات الحياة ضعف قلبهوصار إيمانة (بالقدر خيرة وشرة) أضعف ودخل بنفسة وهن وخوف من أنه يفقد شي يبية أو يحبة عشان كذا ديننا الأسلام نصحنا من اي تعلق ألا بالله 
(عاشر من تعاشر وأحب من أحببت فأنك مفارقه) لو كل انسان فكر في هالجملة غير مسار حياتة ١٨٠"	13	2	1
6	@MixNix10 @AJELNEWS24 شدخل كلامك بهالفاجعه!!! بدال المواساه تقولين تعلق الانسان بمغريات وملهيات الحياه!! حاولي مره ثانيه تختارينن الوقت الصح بهالكلام ، اتقي الله	0	0	1
1	@AJELNEWS24 اللهم انا نعوذ بك من فواجع الاقدار وفقد الاهل وحزن القلب وحرقة الشعور  اللهم ان نستودعك انفسنا واهلنا ومن نحب  اللهم اربط على قلوب المفجوعين اللهم لا اعتراض على قدرك يارب صبرهم وعوضهم لا حول ولا قوة الا بك	0	0	0
1	"@AJELNEWS24 ياقلبي 
لاحول ولاقوة الابالله 
وجعو قلبي"	0	0	1
2	"@AJELNEWS24 الله يجبر مصابه ويصبره مسكين ويجعله من الصابرين الحامدين الشاكرين 
لله ما أخذ ولله ما أعطى"	1	0	1
0	@mlekasia @AJELNEWS24 ياربي ان تصبره على مااصابه	1	0	1
1	"@AJELNEWS24 لا حول ولا قوة الا بالله 
اللهم ياحي ياقيوم نسإلك ان تربط على قلب والديهما وتمدهم بالصبر اللهم امييين"	0	0	1
3	"@AJELNEWS24 يااللله
على هذا الإبتلاء العظيم والله انفجعت انا من سنة خسرت والدي وكأني خسرت كل عمري وبقيت بقلبي غصه كيف اذا راحوا خمس اطفال اللهم انزل على قلبه الصبر والسلوان والسكينه يا ارحم الراحمين لا حول ولا قوه إلا بالله العلي العظيم وإنا لله وإنا إليه راجعون"	0	0	1
1	"@AJELNEWS24 إنا لله وإنا إليه راجعون 
لا حول ولاقوة الابالله اللهم اجبر قلوب والديهم وتقبلهم في رحمتك ..  
إنّا نستودعك أنفسنا وأهلنا ومن نحب واربط على قلب كل مبتلى ومفجوع  يارب  والهمهم الصبر  ."	0	0	1
8	"@AJELNEWS24 لا حول ولا قوة إلا بالله العلي العظيم وإنا لله وإنا إليه راجعون
اللهم اربط على قلوب والديهم وأمسح عليهما وصبرهما واجبرهما جبراً يتعجب منه أهل السموات والأرض، اللهم اجبرهما في مصيبتهما واخلفهما خيراً منهم.
اللهم صبراً
اللهم جبراً
اللهم عوضاً جميل
اللهم إنا نعوذ بك من فواجع الأقدار"	1	4	0
1	@AJELNEWS24 الله يرحمهم و يصبر والديهم ؛ لله ما أخذ، وله ما أعطى، وكل شيء عنده بأجل مسمى ؛ اسأل الله أن يكونوا شفعاء لوالديهم و إنا لله و إنا إليه لراجعون .	0	1	0
4	@AJELNEWS24 والله ان دموعي انزلت بعد ماشفت صورهم يارب ترحمهم وتجبر قلب والدهم لاحول ولا قوة الا بالله العلي العظيم	0	0	0
2	@AJELNEWS24 الله يرحمهم يارب	0	0	1
3	@AJELNEWS24 https://t.co/TPWeJZsnla	0	4	1
3	"@AJELNEWS24 لاحول ولا قوة الا بالله 
الله يرحمهم ويربط على قلب والديهم ويصبرهم ..أنا لله وأنا اليه راجعون"	0	0	1
62	@AJELNEWS24 حديث أبي موسى : أن رسول الله ﷺ قال: إذا مات ولد العبد، قال الله لملائكته: قبضتم ولد عبدي؟ فيقولون: نعم، فيقول: قبضتم ثمرة فؤاده؟ فيقولون: نعم، فيقول: فماذا قال عبدي؟ فيقولون: حمدك، واسترجع، فيقول الله تعالى: ابنوا لعبدي بيتًا في الجنة، وسموه: بيت الحمد[1]رواه الترمذي	2	8	1
2	@AJELNEWS24 @salehyalamri اسال الله ان يجبر مصاب والديهم ويربط ع قلوبهم ويعوضهم خيرًا ويجعلهم شفعاء لهم ف جنات النعيم ،، انا لله وانا اليه راجعون	0	1	1
7	@AJELNEWS24 https://t.co/zHaOdEMG0M	1	6	0
1	@AJELNEWS24 لاحول ولا قوة. الا بالله	0	1	1
16	"@AJELNEWS24 اقسم بالله إن القلب يتقطع والعقل ليعجز عن تخيل ماحدث 
ولا نستطيع النطق بحرف لنواسيهم ولا نعرف اصلاً كيف نواسي من أُبتلي بهذا البلاء

ولا نقول إلا إنا لله وإنا إليه راجعون
ولاحول ولا قوة الا بالله 

ونسأل الله اللطيف الرحيم أن يثبتهم ويصبرهم ويعوضهم خيراً ممن فقدوا"	0	1	1
116	"@AJELNEWS24 الى كل من مات له قريب

وباذن الله شفعاء الى والديهم في جنات النعيم
وهناك الحياه الأبدية 

@albahli1966 https://t.co/tP1EcDVATB"	5	27	1
0	@abu_fars2030 @AJELNEWS24 @albahli1966 شكرا يابو فارس مقطع جميل جدا	1	0	1
3	@AJELNEWS24 5 اطفال حريق  وخربت الدنيا بنواقع التواصل وسوريا وفلسطين والعراق الاف الاطفال تقتل عمداً حرق وقصف ومنم لا يجدون منه شيء وافريقيا والصومال .... يموتون الالف في اليوم الواحد من الجوع ومافي حدا ذكر هشي ياخي شعب منافق شعب لم يعد للاسلام باي صلة فقط الاسم مسلم	10	0	1
23	"@AJELNEWS24 ااه ياقلبي ماامداني افرح بزواجي الا و هالخبر يصدمني 

مستحيل  يقدر يفوق من قوة الصدمه مستحيل ياارب اربط على قلبه و  زوجته 

لازززم يعطونهم ابره منومه ثلاث ايام متواصله ع الاقل حتى تهدأ روعتهم 

انا بالغلط دعست حمامه و انقلبت نفسيتي يومين غثيان 

فكيف بالضنى الغالي"	14	0	1
2	@smsmah_40 @AJELNEWS24 يا حظظظظكككك تزوجتي	17	1	0
0	"@dk20255 @mialbadawi @AJELNEWS24 حبيبتي 
شعور ما يقدر أحد يوصفه
و بالمقابل قواميس و معاجم الدنيا
ما تقدر تواسيك 
إلهي يربط على قلبك و يعوضك
و يعوض والد و أم الأطفال الأردنيين
و ياجركم على هذا الفقد
المؤلم الموجع عظيم الأجر 
و يمسح على صدوركم بالسكينة
و السلوان
قسم بالله ولا حرف كتبته
أحس ممكن يجبر وجعكم"	2	0	1
1	"@AJELNEWS24 الله يرحمهم ويعوضه خير منهم

اعرف احد الأقرباء قبل عشرين سنه ماتت زوجته وثلاث من أبنائه بحريق منزلهم وهم نايمين ولم ينجو الا واحد بتشوهات من الحريق 

وعوضته الحكومه 200 الف ريال

وتزوج من جديد وانجب 5 اولاد و 4 بنات وعاش 30 عام ثم مات رحمه الله"	3	0	1
0	@AJELNEWS24 لا حول ولأ قوةً الا بالله إنا لله وإن إليه راجعون اللهم ارحمهم والطف بنا واسترنا بسترك يارب	2	1	1
35	@AJELNEWS24 المرة الالف لا تفرح بما اتاك الله من النعم وتنشر صورها مثل ابناءك بناتك  او حياتك الخاصة وهناك من هو محروم منها والعين والحسد حق.	8	2	0
3	@Abdelra29304195 @AJELNEWS24 مثل مانؤمن بالعين نؤمن بالأذكار وفعاليتها في التحصين .. عيشوا ودعوا أبناءكم يعيشون حياتهم بلا تخويف من العين ، كثير حرموا أبناءهم من متعة مشاركة الأخرين فرحتهم بالسفر والتخرج والترقية بسبب رهاب الحسد .. سددوا وقاربوا ، لا إفراط ولا تفريط .	1	0	1
1	@AJELNEWS24 يالله  يارب تربط ع قلوب اهلهم. وتتقبلهم عندك شفعاء لهم	0	0	0
0	@AJELNEWS24 لا حول ولا قوة الا بالله الله يرحمهم ويغفر لهم ويصبر قلب امهم وابوهم ويصبر اهلهم علي هذا المصاب الجلل اللهم لا اعتراض والحمدلله الذي لا يحمد علي مكروه سواه	0	1	0
1	@AJELNEWS24 إنا لله وإنا إليه راجعون	0	0	0
1	@AJELNEWS24 اللهم اجعلهم شفعاء لوالديهم اللهم انزل السكينه واربط على قلوب والديهم اللهم اجبرمصابهم وصبرهم انا لله وانا اليه راجعون	0	0	1
1	"@AJELNEWS24 لاحول ولا قوة الا بالله 
ربنا يصبره ويهون عليه مصابه الجلل"	0	0	1
1	@AJELNEWS24 لاحول ولا قوة الا بالله العلي العظيم الله يعوض والديهم خير	0	0	1
1	@AJELNEWS24 لاحول ولاقوة الا بالله الله يصبرهم ويجبرهم يارب والله يرحم الاطفال الله لايفجعنا بغالي	0	0	0
0	@AJELNEWS24 ربط الله على قلوب ذويهم والهمهم الصبر والسلوان	1	0	1
1	@AJELNEWS24 لا حول ولا قوة الا بالله الله لا يفجعنا في احبابنا والله موت الابناء في وقت واحد ابدا ماهو سهل الله يكافئ والدينهم بالجنة	0	0	0
1	@AJELNEWS24 يالله ترحمهم وتجعلهم شفعاء لوالديهم وتربط على قلبي والديهم وتخلف عليهم بأفضل منهم يارب انت القادر سبحانك	0	0	0
0	"@AJELNEWS24 انا لله وانا اليه راجعون 

اللهم اربط على قلب والدهم وانزل السكينه عليه واجبر مصابه"	0	0	1
0	@AJELNEWS24 انا لله وانا إليه راجعون يارب اجبرهم واربط على قلوبهم	0	0	1
0	"@AJELNEWS24 انا لله وانا اليه راجعون .

الله يربط على قلب والديهم ويجعلهم شفعاء لهم يوم لا ينفع مال ولا بنون .

أوصيكم ونفسي بالصبر والأحتساب على المصائب . اللهم أجعلنا واياكم من الصابرين المحتسبين ."	0	0	1
0	@AJELNEWS24 https://t.co/hDZ9Hu2UuO	0	0	1
0	@AJELNEWS24 الله يربط على قلبه ان لله وان اليه راجعون	0	0	1
0	@AJELNEWS24 الله يرحمهم ويصبر ولديهم	0	0	1
0	@AJELNEWS24 لاحول ولا قوة الا بالله العلي العظيم الله يرحمهم ويغفر لهم	0	0	0
0	@AJELNEWS24 الله يرحمهم ونفسهم السما إنشاءالله ما يصيب ضرر اي اردني	0	0	1
0	@AJELNEWS24 يالله	0	0	0
0	"@AJELNEWS24 لاحول ولا قوة الا بالله 

 الله يرحمهم ويغفر لهم و يدخلهم فسيح جناته والله يصبرة ويثبت على قلبة"	0	0	0
2	"@AJELNEWS24 لا حول ولا قوة الا بالله. 
الله يجعلهم شفعاء لوالديهم ويجبر قلوب أهلهم"	0	0	1
2	@AJELNEWS24 من اجل هذه اللحظات الانسان يسال الله دائما الثبات واليقين الله يجبر قلبه ويجعل ماصابه بردا وسلاما كما جعل النار بردا وسلاما على ابراهيم هو ووالدتهم شفتو كيف الدنيا بلحظه تتغير احسنو ولاتظلمو واتقو الله ف كل شي زائل وادعولهم ان الله يعوضهم ابناء ينسونهم ابنائهم	0	1	1
1	@AJELNEWS24 إنا لله وإنا إليه راجعون.اللهم برحمتك التي وسعت كل شيء اجبر أبويهما في كسرهما واربط على قلبيهما وأعظم أجورهما وألهمهما الصبر والسلوان.اللهم واجعل أطفالهم فرطهم إلى جنات الخلد.اللهم ثقل بهم الموازين بالحسنات لأبويهما وارفع بهم درجات أبويهما في جنات النعيم برحمتك يا أرحم الراحمين	1	1	0
3	@AJELNEWS24 يالله ، رحمتك يارب ، لاحول ولا قوة اللا بالله	0	0	1
12	@AJELNEWS24 اللهم تغمدهم بواسع رحمتك واجعل قبورهم روضة من رياض جنتك اللهم يمّن كتابهم وعوضهم بجنه عرضها السموات والارض اللهم أغدق الصبر على أهلهم وذويهم وخاصتهم ومحبيهم اللهم ألهم أهلهم كثرة الدعاء لهم وعمل الخيرات لأجلهم اللهم ارحمهم وجميع موتانا وموتى المسلمين يا رب العالمين ༄ https://t.co/pd89pAVTqp	0	1	1
1	"@AJELNEWS24 لا حول ولا قوة الا بالله
رحمهم الله وعوض أهلهم خير"	0	1	0
1	@AJELNEWS24 اللهم إنّا نعوذ بك من فواجع الأقدار، ومن فقد الأهل، ومن حزن القلب، وحرقة الشعور، اللهم إنّا نستودعك أنفسنا وأهلنا ومن نحب واربط على قلوب المفجوعين يارب.	1	1	1
0	"@mallekh__ @AJELNEWS24 شفتي وشلون ملاحظه دقيقه
وذكيه انامستغرب،،"	1	0	0
1	@AJELNEWS24 ان لله وانا أليه راجعون لا حول ولا قوة الا بالله الله يصبر اهله ويجعلهم شفعاء لوالديه	1	0	1
0	@AJELNEWS24 لاحول ولاقوة الا بالله .. الله يرحمهم ويغفرلهم ويربط على قلوب والديه واهلهم ويرزقهم السكينه والطمانينه والرضاء وعظم الله اجرهم وعوضهم خيرا وجعلهم عصافير في الجنه وهم شفعاء لوالديهم وينتظرونهم عند باب الجنه لياخذو بيدي والديهم ويدخلونهم لها	0	0	0
0	@AJELNEWS24 الله يرحمهم ويغفر لهم	0	0	1
0	"@AJELNEWS24 إنا لله وإنا إليه راجعون 
الله يرحمهم ويصبر والديهم 

والحذر من التصوير وإظهار النعمة فقد انتشر الحسد
والعين بين الناس ."	0	0	0
0	"@AJELNEWS24 انا لله وانا اليه راجعون
اللهم ارحم موتاهم وأجبر قلوبهم وداوهم بالصبر والسكينة والإطمئنان يا أرحم الراحمين."	0	0	1
0	@AJELNEWS24 اللهم ارحمهم واخلف على ذويهم بالصبر والسلوان وإنا لله وإنا اليه راجعون.	0	0	1
0	@AJELNEWS24 ان لله وان اليه راجعون لا حول ولا قوة الا بالله	0	0	1
0	@AJELNEWS24 ان لله وإنا إليه راجعون الله يرحمهم ويسكنهم فسيح جناته يارب ويصبر والديهم يارب	0	0	1
0	@AJELNEWS24 يا لطيييف	0	0	0
0	@AJELNEWS24 لاحول ولاقوة الا بالله وانا لله وانا اليه راجعون	0	0	1
0	@AJELNEWS24 انا لله وانا اليه راجعون.. الله يرحمهم ويغفر لهم ويصبر والديهم ويعوضهم خير ويجعلهم شفعاء لهم يارب	0	0	0
1	@AJELNEWS24 الله يجبر قلبه ويعوضه فيهم الجنه الله يحفظنا ويحفظ ذرياتنا بحفظه ويحرسنا ويحرسهم بعينه التي لاتنام اليه الملاذ والملتجأ ولاحول ولا قوة الا به عليه توكلنا واليه المصير وهو القوي العزيز	0	0	0
1	@AJELNEWS24 الحمدلله وانالله وانااليه راجعون حديث, أن رسول الله ﷺ قال: إذا مات ولد العبد، قال الله لملائكته: قبضتم ولد عبدي؟ فيقولون: نعم، فيقول: قبضتم ثمرة فؤاده؟ فيقولون: نعم، فيقول: فماذا قال عبدي؟ فيقولون: حمدك، واسترجع، فيقول الله تعالى: ابنوا لعبدي بيتًا في الجنة، وسموه: بيت الحمد}	0	0	1
1	@AJELNEWS24 ياوجع قلبي عليهم يارب تلطف بقلوب أهلهم	0	0	1
1	@AJELNEWS24 وبشر الصابرين الذين إذا أصابتهم مصيبة قالوا إنا لله وإنا إليه لراجعون	0	0	1
1	@AJELNEWS24 يالطيف	0	0	0
1	@AJELNEWS24 @roro6635766994 يارب تربط على قلوبهم. إنا لله وإنا إليه راجعون	0	0	1
0	@AJELNEWS24 ا	1	0	1
1	@AJELNEWS24 اللهم اجبرهم جبرا يليق بجلال وجهك وعظيم سلطان	0	0	1
3	@AJELNEWS24 لازم نتقبل صدمات الدنيا فمن فوقها لايرتاح او يسلم من فاجعتها اساله حسن الختام لوالدينا ولانفسنا ومن له حق علينا وان يرحم من سبقنا وان يجعلنا وهم من اهل الجنه بغير حساب ولا سابق عذاب فوالله ان ذنوبنا تسابق حسناتنا لو قبلت ولكن ندعوا الرحمن الرحيم الكريم الغفور الودود بخير ما عنده	1	0	1
9	@AJELNEWS24 سُئِلَ النبيُّ -صلَّى اللهُ عليه وسلم : أَيُّ الناسِ أَشَدُّ بلاءً قال: الأنبياءُ، ثم الأمثلُ فالأمثلُ، يُبْتَلَى الرجلُ على حَسَبِ دِينِهِ فإن كان في دينِهِ صُلْبًا اشتَدَّ بلاؤُهُ وإن كان في دينِهِ رِقَّةٌ هُوِّنَ عليه، فما يَزالُ كذلك، حتى يَمْشِيَ على الأرضِ وما عليه خطيئه)	0	0	1
2	@AJELNEWS24 ياعمري الله يرحمهم ويصبر أهلهم مصابهم جلل	1	0	1
2	@AJELNEWS24 سبحان الله العظيم .. شتَّان بين الخبر و الصور ( وَتِلْكَ الأَيَّامُ نُدَاوِلُهَا بَيْنَ النَّاسِ ) عزائنا جميعًا ان الله وليهم و ولي موتاهم .	0	0	1
12	"@AJELNEWS24 تذكروا أن الدنيا أشبه بصالة المغادرة نلتقي فيها ثم نغادر للرحلة الأبدية والأطول والأبقى علقوا قلوبكم بالآخرة وصدقوني تهون عليكم مصائب الدنيا مهما عظمت .
أسأل الله أن يجعلهم شفعاء لوالديهم وأن يجمعنا بكل من فقدنا في الجنان وأن ينعمنا بنعيمها الخالد."	0	1	1
1	"@AJELNEWS24 اللهم اجعلهم شفعاء لوالديهم واربط على قلوب اهلهم وذويهم بالصبر والسلوان .
ولا تفجعنا في أحبابنا يا رب العالمين ."	0	1	1
1	"@AJELNEWS24 سبحان الحي الذي لا يموت، اللهم يا حي يا قيوم اربط على قلوبهم وثبتهم. يا رحمن الدنيا ورحيمهما، كفكف دمعهم، وثبت قلوبهم، وصبرهم على فقدهم، وارزقهم ما يخفف حزنهم.
اللهم اكفنا شر الحوادث وفواجع الأقدار ومرّ القضاء ولا ترينا في اهلنا واحبابنا اي سوء أو مكروه"	0	1	0
1	@AJELNEWS24 https://t.co/CnCqMDrohZ	0	0	0
1	@AJELNEWS24 الله يرحمهم ويسكنهم فسيح جناته ويلهم أهلهم الصبر	0	0	1
43	"@AJELNEWS24 قال  الله (ومن يؤمن بالله يهد قلبه والله بكل شيئ عليم.)أي من أصابه أمر وعلم أنه بقضاء الله وقدره شرح الله صدره وجعل قلبه مطمئنا
وقال صلى الله عليه وسلم مامن مسلم تصيبه مصيبة فيقول إنا لله وإنا إليه راجعون اللهم آجرني في مصيبتني واخلفني خيراً منها آلا آجره الله وأخلفه خيراً منها."	0	15	1
1	"@AJELNEWS24 لاحول ولاقوة الا بالله 
الله يرحمهم ويغفر لهم ويسكنهم فسيح جناته ويصبر قلوب والديهم."	0	0	0
3	"@AJELNEWS24 إنا لله و إنا إليه راجعون.
اللهم أجعلهم شفعاء لوالديهم وأخلف على والديهم خيراً وأربط على قلوبهم.. تعازينا لوالديهم ولشعب الاردنى الشقيق. إنَّ لِلَّه ما أَخَذ ولَهُ ما أَعطَى، وكلُّ شَيءٍ عِنده بِأجَل مُسمَّى فلتصبروا ولتَحتَسِبوا ."	0	1	1
3	@AJELNEWS24 ان لله وان اليه راجعون الله يرحمهم ويجبر قلوب اهاليهم	0	0	0
1	@nDQPs3CPWJWU8V2 @AJELNEWS24 الله يرحمهم ويصبر اهلهم	0	0	1
1	@mialbadawi @AJELNEWS24 لاحول ولا قوة إلا بالله	0	0	1
